lr,entropy_coef,n_steps,n_epochs,gamma,clip_eps,normalize_rewards,wins,win_rate_pct,rank,episodes
0.003,0.0,256,10,0.95,0.15,True,707,23.57,2,3000
0.0001,0.001,1024,10,0.99,0.15,True,705,23.50,2,3000
0.001,0.01,256,4,0.95,0.2,True,703,23.43,2,3000
0.0003,0.001,512,4,0.99,0.3,False,702,23.40,2,3000
0.003,0.0,256,2,0.99,0.1,True,701,23.37,2,3000
0.0001,0.001,1024,10,0.99,0.3,True,699,23.30,2,3000
0.0001,0.01,512,10,0.99,0.2,True,698,23.27,2,3000
0.001,0.0,1024,2,0.99,0.2,False,698,23.27,2,3000
0.0003,0.0,512,6,0.99,0.1,False,697,23.23,2,3000
0.001,0.0,1024,2,0.95,0.15,False,696,23.20,2,3000
0.001,0.001,256,2,0.95,0.15,False,695,23.17,2,3000
0.001,0.001,256,2,0.99,0.1,True,695,23.17,2,3000
0.003,0.001,128,10,0.99,0.1,False,693,23.10,2,3000
0.0003,0.0,512,6,0.95,0.2,True,690,23.00,2,3000
0.003,0.0,256,2,0.95,0.3,True,688,22.93,2,3000
0.003,0.0,256,10,0.99,0.15,False,685,22.83,2,3000
0.001,0.01,256,4,0.99,0.1,True,683,22.77,2,3000
0.0001,0.01,256,2,0.99,0.1,True,683,22.77,2,3000
0.0003,0.01,128,10,0.99,0.15,False,681,22.70,2,3000
0.001,0.0,1024,2,0.95,0.3,True,681,22.70,2,3000
0.001,0.001,128,2,0.95,0.1,True,679,22.63,2,3000
0.0001,0.01,512,10,0.95,0.2,False,678,22.60,2,3000
0.0001,0.01,256,2,0.95,0.2,False,676,22.53,2,3000
0.0003,0.0,512,6,0.99,0.3,False,675,22.50,2,3000
0.0003,0.01,128,10,0.99,0.2,False,672,22.40,3,3000
0.0001,0.001,1024,10,0.95,0.2,True,672,22.40,3,3000
0.003,0.01,512,4,0.99,0.15,True,671,22.37,2,3000
0.0001,0.001,1024,10,0.95,0.3,False,668,22.27,2,3000
0.003,0.001,128,2,0.99,0.1,True,667,22.23,2,3000
0.001,0.001,512,6,0.99,0.2,False,665,22.17,2,3000
0.0001,0.01,256,2,0.99,0.2,True,665,22.17,3,3000
0.003,0.0,256,2,0.95,0.1,False,664,22.13,3,3000
0.0001,0.01,256,2,0.95,0.1,True,664,22.13,3,3000
0.001,0.01,256,6,0.95,0.2,False,662,22.07,3,3000
0.0001,0.01,256,2,0.99,0.15,True,659,21.97,3,3000
0.003,0.001,128,2,0.99,0.15,True,658,21.93,3,3000
0.0003,0.0,512,10,0.99,0.1,False,657,21.90,3,3000
0.0003,0.01,512,10,0.99,0.2,True,656,21.87,3,3000
0.001,0.01,256,6,0.95,0.1,False,654,21.80,3,3000
0.0001,0.001,1024,10,0.99,0.2,True,652,21.73,3,3000
0.003,0.0,256,10,0.99,0.2,False,652,21.73,3,3000
0.0003,0.0,512,10,0.95,0.2,False,648,21.60,3,3000
0.0003,0.0,512,6,0.99,0.15,False,647,21.57,3,3000
0.0003,0.01,128,10,0.99,0.1,False,645,21.50,3,3000
0.001,0.001,256,2,0.99,0.1,False,645,21.50,3,3000
0.0003,0.01,512,10,0.95,0.3,True,643,21.43,3,3000
0.0001,0.01,256,2,0.95,0.3,True,642,21.40,3,3000
0.0003,0.0,512,6,0.95,0.3,False,641,21.37,3,3000
0.0001,0.01,256,2,0.99,0.2,False,640,21.33,3,3000
0.0001,0.01,256,2,0.95,0.15,True,638,21.27,3,3000
0.003,0.0,256,10,0.99,0.3,True,636,21.20,3,3000
0.003,0.0,256,10,0.95,0.3,False,635,21.17,3,3000
0.0001,0.01,256,2,0.95,0.2,True,635,21.17,3,3000
0.0001,0.01,512,10,0.95,0.2,True,629,20.97,3,3000
0.0003,0.01,128,10,0.99,0.1,True,627,20.90,3,3000
0.001,0.001,128,2,0.99,0.15,False,626,20.87,3,3000
0.0003,0.0,512,10,0.95,0.15,True,626,20.87,3,3000
0.001,0.001,256,2,0.99,0.15,False,625,20.83,3,3000
0.003,0.001,128,10,0.95,0.15,True,624,20.80,3,3000
0.001,0.001,128,2,0.99,0.2,False,623,20.77,3,3000
0.001,0.001,128,2,0.99,0.3,False,623,20.77,3,3000
0.003,0.0,256,2,0.99,0.15,True,621,20.70,3,3000
0.003,0.01,512,4,0.95,0.2,False,621,20.70,3,3000
0.001,0.01,256,6,0.95,0.15,True,620,20.67,3,3000
0.003,0.001,128,10,0.99,0.2,False,620,20.67,3,3000
0.0003,0.0,512,10,0.95,0.3,True,619,20.63,3,3000
0.001,0.0,128,6,0.99,0.2,True,618,20.60,3,3000
0.001,0.0,128,6,0.95,0.15,False,616,20.53,3,3000
0.003,0.001,128,2,0.99,0.1,False,614,20.47,3,3000
0.003,0.001,128,2,0.99,0.15,False,612,20.40,3,3000
0.001,0.001,128,2,0.99,0.3,True,611,20.37,3,3000
0.003,0.0,256,2,0.95,0.2,True,610,20.33,3,3000
0.0003,0.01,512,10,0.95,0.3,False,610,20.33,3,3000
0.003,0.001,128,10,0.99,0.3,True,610,20.33,3,3000
0.001,0.001,256,2,0.95,0.3,False,609,20.30,3,3000
0.0001,0.01,512,10,0.95,0.15,False,603,20.10,3,3000
0.003,0.0,256,2,0.95,0.15,False,601,20.03,4,3000
0.0001,0.01,256,2,0.95,0.15,False,600,20.00,3,3000
0.0001,0.01,256,2,0.99,0.3,True,592,19.73,4,3000
0.003,0.001,128,2,0.99,0.3,True,591,19.70,4,3000
0.001,0.01,256,4,0.99,0.15,True,591,19.70,4,3000
0.001,0.001,128,2,0.95,0.2,False,590,19.67,4,3000
0.001,0.01,256,4,0.95,0.1,True,589,19.63,4,3000
0.003,0.001,128,10,0.95,0.3,True,587,19.57,4,3000
0.001,0.0,128,6,0.95,0.2,False,584,19.47,4,3000
0.0001,0.01,512,10,0.99,0.15,False,582,19.40,4,3000
0.003,0.01,512,4,0.95,0.3,False,581,19.37,4,3000
0.001,0.0,128,6,0.99,0.3,False,580,19.33,4,3000
0.0001,0.001,1024,10,0.95,0.2,False,577,19.23,4,3000
0.001,0.001,512,6,0.99,0.15,True,576,19.20,4,3000
0.001,0.0,1024,2,0.99,0.1,False,572,19.07,4,3000
0.003,0.001,128,2,0.99,0.2,False,563,18.77,4,3000
0.001,0.001,128,2,0.99,0.1,False,563,18.77,4,3000
0.003,0.001,128,10,0.99,0.3,False,562,18.73,4,3000
0.003,0.001,128,2,0.95,0.1,False,559,18.63,4,3000
0.0003,0.0,512,6,0.99,0.1,True,556,18.53,4,3000
0.003,0.001,128,2,0.95,0.3,True,556,18.53,4,3000
0.001,0.01,256,6,0.99,0.3,False,548,18.27,4,3000
0.0001,0.001,1024,10,0.95,0.15,False,539,17.97,4,3000
0.0003,0.01,512,10,0.99,0.1,False,538,17.93,4,3000
0.0003,0.0,512,10,0.99,0.3,True,538,17.93,4,3000
0.003,0.0,256,2,0.95,0.1,True,535,17.83,4,3000
0.003,0.0,256,10,0.99,0.15,True,527,17.57,4,3000
0.0003,0.0,512,10,0.95,0.15,False,525,17.50,4,3000
0.0001,0.001,1024,10,0.95,0.1,False,524,17.47,4,3000
0.001,0.0,128,6,0.99,0.1,True,523,17.43,4,3000
0.003,0.001,128,10,0.99,0.15,True,523,17.43,4,3000
0.003,0.0,256,2,0.99,0.2,True,516,17.20,4,3000
0.0001,0.01,512,10,0.95,0.1,False,513,17.10,4,3000
0.003,0.0,256,10,0.99,0.2,True,508,16.93,4,3000
0.003,0.01,512,4,0.99,0.3,True,505,16.83,4,3000
0.0001,0.01,256,2,0.95,0.3,False,502,16.73,4,3000
