lr,entropy_coef,n_steps,n_epochs,wins,win_rate_pct,rank,episodes
0.0001,0.05,128,10,610,20.33,3,3000
0.003,0.1,128,2,610,20.33,3,3000
0.0003,0.1,512,6,609,20.30,4,3000
0.0001,0.05,256,6,607,20.23,4,3000
0.0001,0.0,512,4,605,20.17,3,3000
0.003,0.0,128,10,605,20.17,3,3000
0.0003,0.1,256,4,602,20.07,4,3000
0.001,0.1,256,2,599,19.97,3,3000
0.003,0.0,128,2,599,19.97,3,3000
0.003,0.1,256,10,599,19.97,3,3000
0.0003,0.1,256,2,598,19.93,3,3000
0.003,0.05,512,2,598,19.93,4,3000
0.0001,0.05,128,6,596,19.87,3,3000
0.003,0.05,512,4,590,19.67,4,3000
0.0003,0.001,128,6,587,19.57,4,3000
0.001,0.1,128,10,585,19.50,4,3000
0.003,0.1,256,4,585,19.50,4,3000
0.0001,0.0,1024,2,584,19.47,4,3000
0.001,0.01,128,4,584,19.47,4,3000
0.0001,0.1,256,10,582,19.40,4,3000
0.0001,0.001,128,4,581,19.37,4,3000
0.001,0.1,256,6,581,19.37,4,3000
0.003,0.1,1024,4,577,19.23,4,3000
0.0001,0.1,256,6,576,19.20,4,3000
0.0003,0.01,512,2,575,19.17,4,3000
0.003,0.05,128,10,573,19.10,4,3000
0.0001,0.01,1024,4,572,19.07,4,3000
0.003,0.01,128,4,569,18.97,4,3000
0.003,0.1,256,2,569,18.97,4,3000
0.001,0.001,256,4,568,18.93,4,3000
0.0003,0.1,512,4,566,18.87,4,3000
0.003,0.05,512,6,565,18.83,4,3000
0.0001,0.01,1024,2,564,18.80,4,3000
0.001,0.05,1024,4,563,18.77,4,3000
0.0001,0.0,256,4,562,18.73,4,3000
0.0001,0.001,256,6,561,18.70,4,3000
0.0003,0.01,128,6,560,18.67,4,3000
0.0003,0.05,1024,2,560,18.67,4,3000
0.0003,0.1,128,6,560,18.67,4,3000
0.0001,0.1,512,10,557,18.57,4,3000
0.0003,0.1,128,4,556,18.53,4,3000
0.003,0.1,512,2,555,18.50,4,3000
0.003,0.1,128,10,551,18.37,4,3000
0.0001,0.0,128,10,550,18.33,4,3000
0.003,0.1,128,6,550,18.33,4,3000
0.001,0.05,1024,2,549,18.30,4,3000
0.003,0.001,256,10,548,18.27,4,3000
0.0003,0.01,1024,2,543,18.10,4,3000
0.003,0.0,128,6,540,18.00,4,3000
0.001,0.1,1024,4,537,17.90,4,3000
0.0001,0.01,128,4,536,17.87,4,3000
0.0001,0.1,256,4,536,17.87,4,3000
0.0001,0.001,256,4,533,17.77,4,3000
0.0003,0.1,1024,2,531,17.70,4,3000
0.0001,0.1,512,4,528,17.60,4,3000
0.0003,0.1,128,2,527,17.57,4,3000
0.0001,0.01,128,6,525,17.50,4,3000
0.0003,0.05,1024,4,524,17.47,4,3000
0.0001,0.01,256,4,521,17.37,4,3000
0.0003,0.1,1024,4,520,17.33,4,3000
0.001,0.01,128,2,518,17.27,4,3000
0.0001,0.1,1024,6,508,16.93,4,3000
0.001,0.1,512,4,507,16.90,4,3000
0.003,0.05,1024,6,504,16.80,4,3000
0.001,0.1,512,6,497,16.57,4,3000
0.0003,0.1,1024,6,496,16.53,4,3000
0.0003,0.1,512,2,486,16.20,4,3000
0.003,0.1,1024,2,486,16.20,4,3000
0.001,0.05,512,6,485,16.17,4,3000
0.003,0.1,256,6,484,16.13,4,3000
0.003,0.1,512,4,483,16.10,4,3000
0.0001,0.1,512,6,481,16.03,4,3000
0.0001,0.1,1024,10,479,15.97,4,3000
0.0003,0.1,1024,10,477,15.90,4,3000
0.001,0.1,512,10,474,15.80,4,3000
0.0001,0.0,128,2,467,15.57,4,3000
0.0001,0.01,128,10,466,15.53,4,3000
0.0001,0.1,128,6,465,15.50,4,3000
0.001,0.05,512,10,465,15.50,4,3000
0.0001,0.05,128,2,451,15.03,4,3000
0.0001,0.001,256,2,449,14.97,4,3000
0.001,0.1,256,10,448,14.93,4,3000
0.0003,0.05,128,2,440,14.67,4,3000
0.001,0.05,1024,10,440,14.67,4,3000
0.001,0.1,1024,2,438,14.60,4,3000
0.0001,0.05,128,4,431,14.37,4,3000
0.003,0.001,1024,2,431,14.37,4,3000
0.003,0.01,1024,2,430,14.33,4,3000
0.0001,0.01,128,2,427,14.23,4,3000
0.0001,0.1,1024,4,424,14.13,4,3000
0.0001,0.0,128,4,419,13.97,4,3000
0.0001,0.0,512,2,413,13.77,4,3000
0.0001,0.1,256,2,405,13.50,4,3000
0.0001,0.1,128,4,398,13.27,4,3000
0.0001,0.05,1024,2,391,13.03,4,3000
0.0001,0.1,1024,2,384,12.80,4,3000
0.001,0.1,1024,10,382,12.73,4,3000
0.003,0.1,512,10,378,12.60,4,3000
0.0001,0.001,1024,2,347,11.57,4,3000
0.003,0.1,1024,6,334,11.13,4,3000
0.001,0.1,1024,6,332,11.07,4,3000
0.003,0.1,512,6,328,10.93,4,3000
0.0001,0.01,512,2,327,10.90,4,3000
0.003,0.001,1024,6,317,10.57,4,3000
0.0001,0.1,512,2,314,10.47,4,3000
0.0001,0.0,256,2,288,9.60,4,3000
0.003,0.001,1024,10,288,9.60,4,3000
0.0001,0.05,512,2,282,9.40,4,3000
0.003,0.001,512,10,278,9.27,4,3000
0.003,0.05,512,10,258,8.60,4,3000
0.0001,0.1,128,2,255,8.50,4,3000
0.003,0.1,1024,10,239,7.97,4,3000
0.003,0.05,1024,10,217,7.23,4,3000
0.003,0.05,1024,4,204,6.80,4,3000
0.0001,0.001,128,2,179,5.97,4,3000
0.003,0.0,1024,10,87,2.90,4,3000
