update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
194,buy,-0.0023,0.241,0.2395,0.118
195,improve,0.0006,0.1895,0.0122,0.0954
196,improve,0.1157,0.0589,0.012,0.1452
197,buy,0.0011,0.1516,0.2138,0.0767
198,improve,-0.1242,0.0649,0.0197,-0.0917
199,buy,0.0131,0.1587,0.2014,0.0922
200,improve,0.0161,0.0241,0.0255,0.0281
201,buy,-0.0395,0.2002,0.1753,0.0604
202,improve,0.0028,0.1942,0.019,0.0998
203,improve,-0.0427,0.0396,0.0154,-0.023
204,improve,-0.0227,0.0328,0.0084,-0.0063
205,buy,0.0719,0.2172,0.1653,0.1804
206,improve,0.0034,0.0866,0.0142,0.0467
207,improve,0.0185,0.0213,0.0098,0.0291
208,improve,-0.0727,0.0116,0.0092,-0.0668
209,buy,-0.123,0.1062,0.174,-0.07
210,improve,0.0003,0.0966,0.009,0.0486
211,buy,-0.0071,0.1709,0.1512,0.0782
212,improve,-0.001,0.0107,0.0076,0.0043
213,improve,-0.0062,0.0276,0.0067,0.0076
214,improve,0.0254,0.0312,0.006,0.041
215,buy,-0.003,0.2329,0.1389,0.1133
216,improve,0.0524,0.1128,0.0096,0.1088
217,buy,-0.032,0.0652,0.1306,0.0005
218,improve,-0.0078,0.0169,0.0062,0.0006
219,improve,-0.0326,0.0092,0.0065,-0.028
220,improve,-0.0128,0.0155,0.0078,-0.0051
221,improve,-0.0416,0.0198,0.0058,-0.0317
222,buy,0.1436,0.1477,0.1174,0.2174
223,improve,-0.0029,0.1431,0.0066,0.0687
224,buy,0.0097,0.1826,0.1034,0.1009
225,improve,0.0002,0.0284,0.006,0.0145
226,buy,0.022,0.151,0.1006,0.0974
227,improve,-0.009,0.0474,0.0094,0.0147
228,improve,0.0021,0.0472,0.0078,0.0257
229,buy,-0.014,0.1643,0.0845,0.0681
230,improve,0.0,0.1099,0.005,0.055
231,buy,-0.1185,0.1565,0.0877,-0.0404
232,improve,0.0061,0.0208,0.0041,0.0164
233,improve,0.0433,0.0495,0.0071,0.068
234,improve,-0.0265,0.0075,0.0117,-0.0228
235,buy,0.0073,0.135,0.0859,0.0747
236,improve,0.0156,0.1612,0.0111,0.0962
237,buy,-0.0093,0.1407,0.089,0.0609
238,improve,-0.0016,0.078,0.0146,0.0374
239,improve,-0.0412,0.0271,0.0125,-0.0276
240,buy,-0.0009,0.1531,0.084,0.0756
241,improve,-0.0007,0.0548,0.0092,0.0267
242,buy,-0.0353,0.0912,0.0855,0.0102
243,improve,0.0014,0.025,0.0094,0.0138
244,improve,-0.001,0.0146,0.0119,0.0063
245,improve,0.1164,0.0393,0.0109,0.136
246,improve,-0.0031,0.1027,0.0077,0.0483
247,improve,-0.0019,0.0165,0.0086,0.0064
248,buy,-0.0053,0.119,0.0917,0.0541
249,improve,-0.0039,0.0542,0.0044,0.0232
250,improve,-0.0005,0.0176,0.0083,0.0083
251,buy,0.0103,0.1876,0.0816,0.104
252,improve,-0.0102,0.1091,0.0127,0.0444
253,improve,-0.0032,0.0495,0.0118,0.0215
254,buy,0.009,0.2489,0.0639,0.1334
255,improve,0.0011,0.0614,0.0067,0.0318
256,improve,0.002,0.0106,0.0097,0.0073
