update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
189,improve,-0.0554,0.0596,0.0144,-0.0257
190,improve,-0.0245,0.0166,0.0114,-0.0162
191,improve,-0.0217,0.0341,0.0104,-0.0046
192,improve,-0.0121,0.0203,0.0093,-0.002
193,buy,0.0298,0.314,0.1977,0.1866
194,improve,0.0033,0.337,0.0146,0.1718
195,improve,-0.0229,0.028,0.0106,-0.0089
196,improve,0.0412,0.0257,0.0088,0.0541
197,buy,-0.0056,0.2298,0.1925,0.1091
198,improve,0.0687,0.0629,0.0097,0.1002
199,buy,-0.0312,0.3772,0.1883,0.1572
200,improve,0.0153,0.0175,0.0104,0.0241
201,improve,0.0116,0.0173,0.0098,0.0202
202,buy,-0.0028,0.2243,0.1762,0.1092
203,improve,0.0105,0.1767,0.0121,0.0988
204,buy,0.0368,0.2923,0.1794,0.1827
205,improve,0.0179,0.0651,0.0099,0.0505
206,buy,0.0013,0.276,0.1619,0.1391
207,improve,0.0096,0.1053,0.0081,0.0623
208,buy,-0.1314,0.3735,0.1617,0.0552
209,improve,0.0037,0.0323,0.0133,0.0199
210,improve,0.0205,0.0353,0.0139,0.0381
211,improve,0.0321,0.0207,0.0178,0.0424
212,buy,-0.0237,0.3368,0.1665,0.1445
213,improve,0.0122,0.3804,0.0145,0.2024
214,buy,0.0001,0.3333,0.1563,0.1666
215,improve,0.0014,0.0609,0.0129,0.0319
216,improve,0.0075,0.1128,0.0095,0.0639
217,buy,-0.0467,0.4334,0.1238,0.1699
218,improve,-0.0016,0.051,0.0118,0.0239
219,improve,-0.0277,0.0367,0.0121,-0.0093
220,buy,-0.0099,0.2725,0.1293,0.1262
221,improve,0.0175,0.1795,0.0187,0.1072
222,buy,-0.0213,0.3364,0.1247,0.1468
223,improve,-0.0002,0.0764,0.0081,0.038
224,buy,-0.0062,0.1989,0.1304,0.0932
225,improve,0.0783,0.2455,0.0094,0.201
226,buy,-0.0304,0.3659,0.1162,0.1524
227,improve,0.0094,0.0196,0.0131,0.0192
228,buy,-0.0735,0.4543,0.1113,0.1535
229,improve,-0.0078,0.0552,0.0145,0.0198
230,buy,0.0157,0.3181,0.1065,0.1747
231,improve,0.0281,0.033,0.0124,0.0446
232,buy,0.0607,0.3776,0.1074,0.2494
233,improve,-0.0019,0.1184,0.0185,0.0573
234,buy,-0.0055,0.486,0.0996,0.2374
235,improve,-0.0058,0.0566,0.0121,0.0225
236,improve,0.0159,0.1074,0.0106,0.0696
237,buy,0.0943,0.205,0.0769,0.1967
238,improve,0.0009,0.1151,0.0148,0.0584
239,improve,-0.0509,0.175,0.0149,0.0366
240,buy,-0.0139,0.2216,0.0971,0.0968
241,improve,-0.0087,0.3868,0.0139,0.1847
242,buy,0.0028,0.4693,0.093,0.2373
243,improve,-0.0377,0.0564,0.0093,-0.0096
244,improve,0.0275,0.036,0.0102,0.0454
245,improve,-0.0017,0.112,0.0113,0.0543
246,buy,0.0419,0.5037,0.0983,0.2936
247,improve,-0.0043,0.0115,0.0079,0.0015
248,buy,-0.0532,0.2324,0.1,0.0629
249,improve,-0.0124,0.1167,0.0109,0.0459
250,improve,0.0604,0.0212,0.017,0.071
251,buy,-0.0013,0.1862,0.1004,0.0917
252,improve,0.0325,0.0526,0.0036,0.0588
253,buy,-0.0044,0.2915,0.1046,0.1413
254,improve,0.0059,0.1101,0.0101,0.0609
255,buy,-0.0629,0.2681,0.1212,0.0711
256,improve,0.0005,0.1232,0.0121,0.0621
257,buy,0.0016,0.4064,0.1419,0.2046
258,improve,-0.003,0.0372,0.0078,0.0156
259,buy,-0.0001,0.8753,0.1585,0.4374
260,improve,0.0031,0.2512,0.0141,0.1287
261,buy,0.0329,0.1363,0.1427,0.1009
262,improve,0.0183,0.3653,0.0114,0.2009
263,improve,-0.0327,0.019,0.0105,-0.0232
264,buy,-0.0222,0.1073,0.1526,0.0313
