episode,winner,ppo_agent_reward,episode_length
370,Aggressive,0.2,194
371,ValueBuyer,2.65,500
372,Aggressive,0.25,366
373,Aggressive,-0.35,202
374,Conservative,2.25,500
375,Aggressive,-0.45,234
376,Aggressive,2.05,500
377,ValueBuyer,3.15,500
378,Random,0.2,313
379,Conservative,2.25,500
380,ValueBuyer,2.2,500
381,Aggressive,-0.15,218
382,Random,2.35,500
383,ValueBuyer,2.05,500
384,ValueBuyer,1.5,198
385,Aggressive,2.55,500
386,ValueBuyer,2.25,500
387,Conservative,2.2,500
388,Conservative,2.3,500
389,Aggressive,1.35,401
390,ValueBuyer,2.45,500
391,ValueBuyer,2.25,500
392,Aggressive,2.3,500
393,Conservative,2.4,500
394,ValueBuyer,1.8,318
395,Conservative,-0.15,500
396,Aggressive,-0.15,262
397,ValueBuyer,2.45,500
398,ValueBuyer,2.55,500
399,Conservative,0.1,189
400,ValueBuyer,2.55,500
401,Aggressive,2.3,500
402,Aggressive,1.85,500
403,Aggressive,2.4,500
404,Aggressive,2.3,500
405,Aggressive,-0.2,288
406,ValueBuyer,2.4,500
407,ValueBuyer,2.5,500
408,ValueBuyer,2.45,500
409,Aggressive,0.5,272
410,Aggressive,2.3,500
411,Conservative,0.0,233
412,ValueBuyer,2.6,500
413,ValueBuyer,2.75,500
414,ValueBuyer,2.8,500
415,Aggressive,-0.15,164
416,Aggressive,1.75,500
417,Conservative,2.3,500
418,Aggressive,0.65,299
419,Random,2.0,500
420,Random,2.1,500
421,ValueBuyer,2.35,500
422,Conservative,0.05,500
423,Aggressive,2.3,500
424,ValueBuyer,2.35,500
425,Random,-0.3,270
426,ValueBuyer,2.3,500
427,ValueBuyer,2.55,500
428,ValueBuyer,2.4,500
429,Random,-0.45,500
430,Random,2.1,500
431,Aggressive,2.0,500
432,ValueBuyer,1.9,500
433,Conservative,2.3,500
434,Conservative,2.35,500
435,Conservative,0.4,362
436,ValueBuyer,2.35,500
437,Conservative,2.1,500
438,ValueBuyer,2.25,500
439,Conservative,2.3,500
440,ValueBuyer,1.95,500
441,Conservative,2.3,500
442,ValueBuyer,3.05,436
443,Aggressive,2.5,500
444,ValueBuyer,2.65,500
445,Conservative,2.25,500
446,ValueBuyer,2.45,500
447,Aggressive,2.4,500
448,ValueBuyer,2.35,500
449,ValueBuyer,2.5,500
450,Conservative,2.45,500
451,Aggressive,-0.35,167
452,Aggressive,1.65,500
453,Aggressive,0.8,362
454,Aggressive,2.5,500
455,Aggressive,0.1,258
456,Aggressive,0.55,480
457,Aggressive,2.5,500
458,Random,-0.5,500
459,Aggressive,2.15,500
460,ValueBuyer,2.25,500
461,ValueBuyer,2.5,500
462,ValueBuyer,2.65,450
463,ValueBuyer,2.3,500
464,Aggressive,2.2,500
465,ValueBuyer,2.55,500
466,Aggressive,2.1,500
467,Conservative,2.35,500
468,ValueBuyer,2.55,500
469,Random,-0.45,287
470,Random,2.15,500
471,ValueBuyer,2.5,500
472,Conservative,2.3,500
473,ValueBuyer,2.25,500
474,ValueBuyer,2.2,500
475,Conservative,-0.05,195
476,ValueBuyer,2.55,500
477,Aggressive,0.5,263
478,Random,2.5,500
479,Aggressive,2.4,500
480,Conservative,2.2,500
481,ValueBuyer,2.3,500
482,ValueBuyer,2.75,500
483,Aggressive,2.35,500
484,Conservative,1.15,423
485,Aggressive,2.2,500
486,Conservative,-0.25,249
487,Aggressive,2.3,500
488,Conservative,2.2,500
489,ValueBuyer,2.15,500
490,ValueBuyer,2.6,500
491,ValueBuyer,2.25,500
492,ValueBuyer,2.55,500
493,Conservative,2.25,500
494,Conservative,1.95,500
495,Conservative,2.35,500
496,ValueBuyer,2.1,500
497,Aggressive,2.4,500
498,ValueBuyer,2.1,500
499,Aggressive,0.1,235
500,Aggressive,2.35,500
501,Conservative,2.2,500
502,Conservative,2.1,500
503,Aggressive,1.9,500
504,Aggressive,0.1,243
505,Aggressive,2.25,500
506,Aggressive,0.65,284
507,Conservative,0.25,500
508,Aggressive,2.65,500
509,Conservative,-0.25,188
510,Conservative,0.6,365
511,ValueBuyer,2.6,500
512,Aggressive,2.25,500
513,Aggressive,2.2,500
514,Aggressive,-0.15,210
515,Conservative,2.4,500
516,Random,1.8,500
517,Random,-0.15,201
518,ValueBuyer,2.3,500
519,Aggressive,-0.1,301
520,Aggressive,2.0,500
521,ValueBuyer,2.55,500
522,Aggressive,2.5,500
523,Aggressive,1.05,500
524,Aggressive,2.5,500
525,Aggressive,0.05,220
526,Aggressive,2.5,500
527,Aggressive,2.4,500
528,ValueBuyer,1.95,500
529,ValueBuyer,2.0,500
530,Random,2.4,500
531,Aggressive,0.4,236
532,Aggressive,-0.1,402
533,Conservative,2.2,500
534,Random,0.3,360
535,Aggressive,2.05,500
536,ValueBuyer,2.05,500
537,Aggressive,0.25,212
538,ValueBuyer,2.35,500
539,Random,-0.1,199
540,Aggressive,0.05,271
541,ValueBuyer,2.25,500
542,ValueBuyer,2.15,500
543,Conservative,2.15,500
544,Conservative,2.05,500
545,ValueBuyer,2.4,500
546,ValueBuyer,2.0,500
547,Aggressive,2.3,500
548,ValueBuyer,2.4,500
549,Aggressive,0.75,440
550,Conservative,1.95,500
551,Conservative,2.35,500
552,ValueBuyer,2.5,500
553,Conservative,2.05,500
554,ValueBuyer,2.45,500
555,ValueBuyer,2.6,500
556,Aggressive,2.5,500
557,Aggressive,2.25,500
558,ValueBuyer,2.0,500
559,ValueBuyer,2.2,500
560,Conservative,2.35,500
561,Aggressive,2.05,500
562,Conservative,2.15,500
563,Conservative,1.9,500
564,Conservative,0.95,447
565,Aggressive,-0.55,170
566,Conservative,2.4,500
567,Conservative,2.2,500
568,Conservative,2.55,500
569,Aggressive,0.55,289
570,ValueBuyer,2.55,500
571,Conservative,2.4,500
572,ValueBuyer,2.1,500
573,ValueBuyer,2.4,500
574,Aggressive,0.4,397
575,Random,2.15,500
576,Aggressive,2.55,500
577,Aggressive,2.35,500
578,Conservative,2.25,500
579,Conservative,2.45,500
580,Random,2.45,500
581,Aggressive,2.4,500
582,Aggressive,2.1,500
583,Random,-0.4,175
584,Aggressive,-0.05,147
585,Conservative,1.75,500
586,Aggressive,2.25,500
587,Aggressive,2.3,500
588,ValueBuyer,2.6,500
589,Conservative,2.25,500
590,Aggressive,2.35,500
591,ValueBuyer,2.5,500
592,Aggressive,1.95,500
593,Conservative,2.3,500
594,Aggressive,0.45,299
595,Aggressive,-0.05,183
596,ValueBuyer,2.4,500
597,Aggressive,0.3,176
598,Conservative,2.3,500
599,Conservative,0.25,337
600,Aggressive,2.35,500
601,Aggressive,2.35,500
602,Aggressive,2.45,500
603,Aggressive,2.1,500
604,Aggressive,1.95,500
605,Conservative,2.4,500
606,Aggressive,2.35,500
607,Aggressive,1.9,500
608,Aggressive,2.3,500
609,Aggressive,2.25,500
610,Aggressive,0.05,230
611,Conservative,2.4,500
612,ValueBuyer,2.15,500
613,ValueBuyer,2.45,500
614,Aggressive,2.15,500
615,Conservative,1.95,500
616,Aggressive,2.2,500
617,Conservative,2.65,500
618,Conservative,2.05,500
619,Aggressive,-0.15,227
620,Aggressive,2.2,500
621,Conservative,2.3,500
622,ValueBuyer,2.25,500
623,Conservative,1.0,484
624,Aggressive,2.65,500
625,Conservative,0.5,375
626,Conservative,-0.2,500
627,Aggressive,2.1,500
628,Conservative,2.15,500
629,ValueBuyer,2.15,500
630,Aggressive,1.25,500
631,ValueBuyer,2.3,500
632,ValueBuyer,2.15,500
633,Conservative,1.85,500
634,Conservative,2.4,500
635,ValueBuyer,2.25,500
636,Aggressive,2.45,500
637,Aggressive,2.2,500
638,ValueBuyer,2.55,500
639,ValueBuyer,2.0,500
640,ValueBuyer,2.5,500
641,Conservative,2.55,500
642,ValueBuyer,2.2,500
643,Aggressive,2.05,500
644,Conservative,0.3,382
645,ValueBuyer,2.25,500
646,Aggressive,0.15,179
647,Aggressive,2.15,500
648,ValueBuyer,2.6,500
649,Aggressive,0.7,295
650,Aggressive,-0.25,267
651,Aggressive,2.2,500
652,Aggressive,2.15,500
653,Aggressive,1.65,500
654,Random,0.7,399
655,Conservative,2.3,500
656,Aggressive,0.45,500
657,Conservative,0.45,398
658,Conservative,0.55,332
659,Random,2.0,500
660,Aggressive,2.3,500
661,ValueBuyer,2.35,500
662,ValueBuyer,2.2,500
663,Aggressive,1.9,500
664,ValueBuyer,2.35,500
665,Aggressive,1.95,500
666,Aggressive,0.0,153
667,Conservative,2.25,500
668,ValueBuyer,2.3,500
669,Random,0.15,162
670,Aggressive,1.9,500
671,Aggressive,0.1,236
672,Aggressive,0.05,182
673,Aggressive,2.3,500
674,Aggressive,2.1,500
675,ValueBuyer,2.35,500
676,ValueBuyer,2.65,500
677,Random,2.3,500
678,Conservative,2.4,500
679,ValueBuyer,2.3,500
680,Aggressive,2.35,500
681,ValueBuyer,2.55,500
682,ValueBuyer,2.25,500
683,Aggressive,1.8,500
684,Conservative,0.65,422
685,Aggressive,2.2,500
686,ValueBuyer,2.4,500
687,Aggressive,2.65,500
688,Aggressive,0.65,314
689,ValueBuyer,2.55,500
690,Conservative,2.2,500
691,Aggressive,2.1,500
692,ValueBuyer,2.45,500
693,Random,2.3,500
694,Aggressive,1.15,500
695,Aggressive,0.4,318
696,Conservative,0.35,276
697,Aggressive,2.2,500
698,Conservative,0.65,403
699,ValueBuyer,2.35,500
700,Conservative,0.05,267
701,Conservative,2.35,500
702,Conservative,2.4,500
703,Aggressive,2.25,500
704,Aggressive,2.1,500
705,Conservative,2.1,500
706,ValueBuyer,2.5,500
707,Random,2.1,500
708,ValueBuyer,2.35,500
709,ValueBuyer,2.65,500
710,ValueBuyer,2.25,500
711,Random,2.2,500
712,Aggressive,2.1,500
713,Conservative,2.05,500
714,Aggressive,0.85,467
715,Aggressive,0.45,334
716,Conservative,0.6,339
717,Aggressive,2.5,500
718,Aggressive,0.75,500
719,Aggressive,2.25,500
720,Conservative,2.15,500
721,Aggressive,2.05,500
722,Conservative,2.3,500
723,Conservative,2.2,500
724,Aggressive,2.35,500
725,Random,2.45,500
726,ValueBuyer,2.5,500
727,Conservative,0.5,321
728,Aggressive,0.05,360
729,ValueBuyer,2.5,500
730,Conservative,2.6,500
731,Conservative,2.3,500
732,Aggressive,2.0,500
733,Conservative,0.15,289
734,Aggressive,1.95,500
735,Conservative,3.15,500
736,Conservative,-0.0,252
737,Aggressive,2.1,500
738,ValueBuyer,2.5,500
739,ValueBuyer,2.55,500
740,ValueBuyer,2.55,500
741,Aggressive,2.1,500
742,ValueBuyer,2.75,500
743,Conservative,2.1,500
744,Random,1.9,500
745,Random,2.3,500
746,Conservative,2.45,500
747,Aggressive,2.4,500
748,Aggressive,2.2,500
749,ValueBuyer,2.35,500
750,ValueBuyer,2.7,500
751,Aggressive,-0.4,84
752,Aggressive,2.4,500
753,Aggressive,2.55,500
754,Conservative,0.45,299
755,Conservative,2.1,500
756,Random,2.2,500
757,Conservative,2.0,500
758,ValueBuyer,2.35,500
759,Random,2.1,500
760,Aggressive,0.2,210
761,Aggressive,-0.25,174
762,Random,0.55,323
763,Aggressive,3.4,500
764,Conservative,2.2,500
765,Aggressive,2.15,500
766,ValueBuyer,2.55,500
767,Conservative,2.25,500
768,Conservative,2.2,500
769,ValueBuyer,2.5,500
770,Conservative,0.65,342
771,Aggressive,0.25,300
772,Conservative,2.35,500
773,ValueBuyer,2.45,500
774,Conservative,2.45,500
775,Aggressive,-0.1,187
776,Conservative,2.3,500
777,Conservative,2.25,500
778,Conservative,1.95,500
779,Conservative,0.15,213
780,Random,0.55,452
781,Random,2.3,500
782,Random,1.8,500
783,Aggressive,0.5,355
784,Aggressive,2.4,500
785,Aggressive,0.2,250
786,Conservative,-0.1,205
787,Random,2.1,500
788,Aggressive,2.3,500
789,Conservative,1.2,419
790,Conservative,0.45,249
791,ValueBuyer,2.25,500
792,Conservative,0.15,198
793,ValueBuyer,2.7,500
794,ValueBuyer,2.55,500
795,Aggressive,2.1,500
796,Conservative,2.25,500
797,Conservative,2.15,500
798,Aggressive,-0.15,194
799,Aggressive,2.4,500
800,Aggressive,-0.6,141
801,Conservative,0.9,382
802,Aggressive,0.4,419
803,Aggressive,2.25,500
804,Aggressive,2.05,500
805,Aggressive,2.4,500
806,Aggressive,2.1,500
807,Conservative,2.25,500
808,Aggressive,2.15,500
809,Aggressive,2.35,500
810,Conservative,2.25,500
811,Aggressive,0.1,196
812,Aggressive,-0.5,112
813,ValueBuyer,2.1,500
814,Aggressive,2.3,500
815,Conservative,0.95,425
816,Conservative,2.25,500
817,ValueBuyer,2.35,500
818,Conservative,2.0,500
