update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
344,buy,0.0127,0.1686,0.2018,0.0968
345,improve,0.0011,0.6338,0.0032,0.318
346,improve,-0.036,0.0101,0.0026,-0.031
347,buy,0.0139,0.1883,0.1732,0.1079
348,improve,-0.0057,0.1014,0.0028,0.045
349,improve,-0.0097,0.0169,0.0016,-0.0013
350,improve,0.0007,0.0348,0.0044,0.018
351,buy,-0.0081,0.1084,0.1813,0.0459
352,buy,-0.0196,0.0967,0.1745,0.0286
353,improve,-0.0011,0.317,0.0073,0.1574
354,improve,0.1045,0.0148,0.0065,0.1118
355,improve,-0.0134,0.0176,0.0041,-0.0046
356,buy,0.003,0.1246,0.1846,0.0651
357,improve,0.0002,0.0379,0.0019,0.0192
358,buy,-0.0145,0.1386,0.1792,0.0547
359,improve,-0.0099,0.2491,0.0019,0.1147
360,buy,0.0064,0.1781,0.2185,0.0952
361,improve,-0.0083,0.0271,0.0054,0.0053
362,buy,0.0318,0.2817,0.2537,0.1724
363,improve,0.0028,0.0148,0.0066,0.0102
364,buy,0.043,0.2273,0.1757,0.1565
365,improve,-0.0006,0.0211,0.002,0.0099
366,improve,0.0112,0.0077,0.0025,0.015
367,buy,0.0026,0.2237,0.1398,0.1143
368,improve,-0.0092,0.0788,0.005,0.0302
369,improve,0.0648,0.1702,0.0066,0.1499
370,buy,0.0703,0.1349,0.1288,0.1376
371,improve,-0.0015,0.0573,0.0027,0.0272
372,buy,0.0101,0.1678,0.1219,0.0939
373,improve,0.0001,0.0906,0.0066,0.0454
374,buy,-0.0143,0.1305,0.1203,0.0508
375,improve,-0.0069,0.03,0.0022,0.0081
376,improve,-0.006,0.0276,0.0011,0.0078
377,improve,-0.0123,0.0072,0.0023,-0.0087
378,improve,0.0471,0.0141,0.0032,0.0542
379,improve,-0.0643,0.0136,0.004,-0.0575
380,buy,0.1165,0.1001,0.1164,0.1665
381,improve,0.006,0.0046,0.0012,0.0084
382,buy,-0.036,0.1871,0.081,0.0575
383,improve,-0.0068,0.0566,0.0044,0.0215
384,buy,-0.0001,0.2759,0.0668,0.1378
385,improve,0.0019,0.0441,0.004,0.0239
386,buy,0.0002,0.2575,0.0687,0.1289
387,improve,0.0144,0.0744,0.0065,0.0516
388,buy,-0.0125,0.2012,0.0672,0.088
389,improve,-0.0028,0.019,0.0042,0.0067
390,improve,0.0018,0.0107,0.0014,0.0071
391,buy,0.0006,0.1607,0.0662,0.0809
392,improve,-0.0,0.0526,0.0018,0.0263
393,buy,0.0092,0.1666,0.0594,0.0925
394,improve,-0.0004,0.0346,0.0014,0.0169
395,buy,0.0262,0.135,0.0641,0.0937
396,improve,0.0165,0.0503,0.0049,0.0416
397,improve,-0.0482,0.0228,0.0019,-0.0368
398,buy,0.0382,0.136,0.0645,0.1061
399,improve,-0.0001,0.038,0.002,0.0189
400,buy,-0.1107,0.213,0.0611,-0.0043
401,improve,-0.0017,0.0112,0.0017,0.0039
402,buy,-0.0238,0.1061,0.0638,0.0292
403,improve,0.0015,0.037,0.0015,0.02
404,buy,-0.0251,0.1311,0.0631,0.0404
405,improve,0.0016,0.008,0.0017,0.0056
406,improve,0.0348,0.0212,0.0012,0.0454
407,improve,-0.0075,0.0112,0.0027,-0.0019
408,buy,0.2277,0.1797,0.0619,0.3175
409,improve,0.0008,0.0278,0.0018,0.0147
410,buy,0.0085,0.2833,0.0645,0.1501
411,improve,0.0111,0.0217,0.0027,0.0219
412,improve,0.01,0.0048,0.002,0.0124
413,improve,-0.0783,0.0126,0.0015,-0.072
414,buy,0.0038,0.1151,0.0772,0.0613
415,improve,0.0032,0.0608,0.0013,0.0337
416,buy,-0.0077,0.3453,0.0785,0.1649
417,improve,0.0474,0.0794,0.0011,0.0871
418,improve,0.0006,0.0089,0.0013,0.0051
419,improve,-0.0166,0.0134,0.0009,-0.0098
420,buy,0.0156,0.3135,0.0723,0.1723
421,improve,0.0178,0.1652,0.0024,0.1004
422,improve,-0.0086,0.0109,0.0012,-0.0031
423,improve,0.0167,0.0088,0.0016,0.0211
424,improve,0.0153,0.039,0.0011,0.0349
425,improve,-0.033,0.1484,0.0016,0.0412
426,improve,-0.0231,0.0292,0.0013,-0.0085
427,buy,-0.0456,0.1368,0.0662,0.0228
428,improve,-0.002,0.024,0.001,0.01
429,buy,-0.0507,0.2185,0.0749,0.0585
430,improve,-0.0052,0.0139,0.0016,0.0018
431,buy,0.0404,0.2822,0.0919,0.1814
432,improve,-0.0023,0.0146,0.0012,0.005
433,improve,0.0149,0.0112,0.0011,0.0205
434,buy,-0.114,0.3025,0.1007,0.0371
435,improve,0.0046,0.0309,0.0024,0.0201
436,improve,0.0094,0.0184,0.0016,0.0186
437,buy,-0.0002,0.2009,0.1061,0.1002
438,improve,0.0048,0.0056,0.0008,0.0076
439,buy,0.0896,0.1359,0.1113,0.1574
440,improve,-0.002,0.0091,0.0008,0.0026
441,buy,-0.0091,0.1802,0.1131,0.0809
442,improve,-0.0227,0.0231,0.002,-0.0112
443,improve,-0.0004,0.0327,0.0013,0.0159
444,buy,-0.0542,0.2284,0.1022,0.0599
445,improve,-0.0054,0.1533,0.0012,0.0712
446,improve,0.0209,0.0729,0.0013,0.0573
447,improve,0.0503,0.007,0.0017,0.0538
448,buy,-0.005,0.1715,0.107,0.0806
449,improve,-0.0209,0.1302,0.0013,0.0442
450,buy,0.0782,0.1938,0.1018,0.175
451,improve,-0.0019,0.007,0.0011,0.0016
452,buy,-0.0108,0.1435,0.1072,0.0608
453,improve,0.0684,0.0979,0.001,0.1174
454,improve,0.0035,0.0071,0.0011,0.007
455,buy,0.0007,0.2515,0.0918,0.1264
456,improve,0.0516,0.0815,0.0009,0.0923
457,buy,-0.0016,0.2442,0.0907,0.1204
458,improve,0.0507,0.023,0.0015,0.0622
459,improve,0.0133,0.0208,0.0008,0.0237
460,improve,-0.0024,0.0044,0.0013,-0.0002
461,buy,-0.0292,0.1886,0.0969,0.065
462,improve,0.0028,0.0174,0.0012,0.0115
463,improve,-0.0002,0.0058,0.0011,0.0027
464,improve,-0.011,0.0448,0.0007,0.0114
465,improve,0.0309,0.0348,0.0011,0.0483
466,buy,0.0183,0.1268,0.0867,0.0816
467,improve,-0.0016,0.0343,0.0009,0.0156
468,buy,0.0016,0.1945,0.0773,0.0988
469,improve,0.0306,0.0097,0.0017,0.0355
470,buy,-0.0043,0.1823,0.0736,0.0868
471,improve,0.0038,0.0574,0.0012,0.0325
472,buy,-0.0251,0.1897,0.0738,0.0697
473,improve,-0.0077,0.1326,0.0014,0.0586
474,improve,0.0041,0.0122,0.0015,0.0103
475,improve,-0.0035,0.0147,0.0026,0.0038
476,buy,0.004,0.2357,0.0632,0.1218
477,improve,-0.0025,0.0891,0.0023,0.042
478,buy,-0.0409,0.2311,0.0667,0.0745
479,improve,-0.0251,0.1654,0.003,0.0576
480,improve,-0.0019,0.0129,0.0021,0.0046
481,improve,0.0175,0.007,0.0013,0.0209
482,improve,0.0005,0.0068,0.002,0.004
483,improve,0.0006,0.1842,0.0012,0.0927
484,improve,-0.0256,0.0117,0.0017,-0.0198
485,buy,0.0009,0.1998,0.0651,0.1008
486,improve,0.0,0.0527,0.0026,0.0264
487,improve,0.0051,0.0278,0.0021,0.019
